Datum;Name;Telefon;Email;Nachricht
31.08.2022 16:27:47;Max Mustermann;34567890;foo@bar.com;34567890;
20.03.2024 09:18:02;Test;test;test@test.de;asdada;
20.03.2024 09:19:21;Test;test;test@test.de;asdada;
20.03.2024 09:27:15;Test;test;test@test.de;asdada;
20.03.2024 09:33:04;Test;test;test@test.de;asdada;
20.03.2024 09:37:07;test;test;test@test.de;asdasdad;
20.03.2024 09:39:59;test;test;test@test.de;asdasdad;
20.03.2024 09:41:20;test;test;test@test.de;asdasdad;
20.03.2024 09:41:59;test;test;test@test.de;asdasdad;
20.03.2024 09:50:33;test;test;test@test.de;;
20.03.2024 09:52:59;test;test;test@test.de;asdasd;
20.03.2024 10:02:50;test;test;test@test.de;asdasd;
20.03.2024 10:06:27;test;test;test@test.de;asdasd;
